region,surface_area
Caribbean,193.0
Caribbean,96.0
Caribbean,800.0
Caribbean,442.0
Caribbean,13878.0
Caribbean,430.0
Caribbean,110861.0
Caribbean,264.0
Caribbean,751.0
Caribbean,48511.0
Caribbean,1705.0
Caribbean,344.0
Caribbean,27750.0
Caribbean,10990.0
Caribbean,261.0
Caribbean,622.0
Caribbean,102.0
Caribbean,1102.0
Caribbean,8875.0
Caribbean,430.0
Caribbean,5130.0
Caribbean,388.0
Caribbean,151.0
Caribbean,347.0
Central Africa,1246700.0
Central Africa,622984.0
Central Africa,475442.0
Central Africa,2344858.0
Central Africa,342000.0
Central Africa,267668.0
Central Africa,28051.0
Central Africa,964.0
Central Africa,1284000.0
